route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-20760,1,"Bowness/Forest Lawn",,3,,,
2-20760,2,"Mount Pleasant/Killarney 17 Av SW",,3,,,
3-20760,3,"Sandstone/Elbow Dr SW",,3,,,
4-20760,4,"Huntington",,3,,,
5-20760,5,"North Haven",,3,,,
6-20760,6,"Killarney/26 Av SW",,3,,,
7-20760,7,"Marda Loop",,3,,,
8-20760,8,"North Pointe Terminal/Foothills Medical Centre",,3,,,
9-20760,9,"Dalhousie Station/Chinook Station",,3,,,
10-20760,10,"City Hall/Southcentre",,3,,,
11-20760,11,"Southwest Loop",,3,,,
12-20760,12,"Southwest Loop",,3,,,
13-20760,13,"Altadore",,3,,,
14-20760,14,"Bridlewood/Cranston",,3,,,
17-20760,17,"Renfrew/Ramsay",,3,,,
19-20760,19,"16 Avenue North",,3,,,
20-20760,20,"Heritage Station/Northmount Dr N",,3,,,
21-20760,21,"Castleridge",,3,,,
22-20760,22,"Richmond Rd SW",,3,,,
23-20760,23,"52 St E",,3,,,
24-20760,24,"Ogden",,3,,,
26-20760,26,"Sarcee Trail Crosstown",,3,,,
27-20760,27,"Willowglen",,3,,,
28-20760,28,"Deer Run",,3,,,
29-20760,29,"Queensland",,3,,,
30-20760,30,"Highfield Industrial",,3,,,
32-20760,32,"Huntington/Sunridge",,3,,,
33-20760,33,"Vista Heights/Rundle",,3,,,
34-20760,34,"Pineridge",,3,,,
35-20760,35,"Bonavista/Canyon Meadows",,3,,,
36-20760,36,"Riverbend",,3,,,
37-20760,37,"Heritage Station/Canyon Meadows",,3,,,
38-20760,38,"Brentwood Station/Temple",,3,,,
40-20760,40,"Crowfoot Station/North Hill",,3,,,
41-20760,41,"Lynnwood",,3,,,
42-20760,42,"Marlborough",,3,,,
43-20760,43,"McKnight - Westwinds Station/Chinook Station",,3,,,
44-20760,44,"Deer Ridge",,3,,,
46-20760,46,"Beddington",,3,,,
48-20760,48,"Rundle",,3,,,
49-20760,49,"Forest Heights",,3,,,
51-20760,51,"West Springs/Discovery Ridge",,3,,,
52-20760,52,"Evergreen/Somerset-Bridlewood Station",,3,,,
53-20760,53,"Brentwood Station/Greenwood",,3,,,
54-20760,54,"Edgevalley",,3,,,
55-20760,55,"Falconridge",,3,,,
56-20760,56,"Woodbine",,3,,,
57-20760,57,"Monterey Park/ McCall Wy NE",,3,,,
58-20760,58,"Erin Woods/44 St SE",,3,,,
59-20760,59,"Savanna",,3,,,
60-20760,60,"Taradale",,3,,,
61-20760,61,"Martindale",,3,,,
62-20760,62,"Hidden Valley Express",,3,,,
64-20760,64,"MacEwan Express",,3,,,
65-20760,65,"Market Mall/Downtown West",,3,,,
66-20760,66,"Lakeview",,3,,,
